Date,Symbol,Open,High,Low,Close,Volume BTC,Volume USD,volume_adi,volume_obv,volume_cmf,volume_fi,volume_em,volume_vpt,volume_nvi,volatility_atr,volatility_bbh,volatility_bbl,volatility_bbm,volatility_bbhi,volatility_bbli,volatility_kcc,volatility_kch,volatility_kcl,volatility_kchi,volatility_kcli,volatility_dch,volatility_dcl,volatility_dchi,volatility_dcli,trend_macd,trend_macd_signal,trend_macd_diff,trend_ema_fast,trend_ema_slow,trend_adx,trend_adx_pos,trend_adx_neg,trend_vortex_ind_pos,trend_vortex_ind_neg,trend_vortex_diff,trend_trix,trend_mass_index,trend_cci,trend_dpo,trend_kst,trend_kst_sig,trend_kst_diff,trend_ichimoku_a,trend_ichimoku_b,trend_visual_ichimoku_a,trend_visual_ichimoku_b,trend_aroon_up,trend_aroon_down,trend_aroon_ind,momentum_rsi,momentum_mfi,momentum_tsi,momentum_uo,momentum_stoch,momentum_stoch_signal,momentum_wr,momentum_ao,others_dr,others_dlr,others_cr
10/8/2019,BTCUSD,8209,8342.97,8151.94,8216.39,2329,19198358.02,716.9453654,0,-0.325236874,0,0,2669.892298,1000,316.0842344,8223.146038,8202.243962,8216.39,0,0,8237.1,8428.13,8046.07,0,0,8216.39,8216.39,0,0,0,0,0,8216.39,8216.39,0,0,0,1,1,0,110.0411014,1,0,-4403.900177,1155.124441,1155.124441,0,8247.455,8247.455,3841.592496,4016.497137,4,4,0,50,100,100,97.20603567,33.73815631,33.73815631,-66.26184369,0,115.5124441,0,0
10/7/2019,BTCUSD,7859.79,8310.57,7762.35,8209,9969.38,80691163.82,5517.80268,-9969.38,0.448660936,0,-11.60269534,2681.318146,1000,332.6653605,8223.146038,8202.243962,8212.695,0,0,8165.536667,8535.161667,7795.911667,0,0,8216.39,8209,0,0,-0.165801282,-0.092111823,-0.073689459,8212.387083,8212.552885,0,0,0,1,1,0,-0.013644561,2.292740536,-66.66666667,-4400.205177,1154.155258,1154.63985,-0.484591457,8052.66,8052.66,3841.592496,4016.497137,4,8,-4,0,19.20800428,99.87947778,95.50770882,76.92638903,55.33227267,-23.07361097,0,-0.089942177,-0.089982649,-0.089942177
10/6/2019,BTCUSD,8147.63,8176.18,7780.85,7859.79,7770.16,61753052.16,1608.230332,-17739.54,0.042392404,-1940317.656,-7.275409779,-339.5084697,957.4601048,339.4856919,8502.626597,7687.493403,8095.06,0,0,8090.004444,8468.197778,7711.811111,0,0,8216.39,7859.79,0,0,-11.04024495,-4.579051628,-6.461193319,8074.76836,8085.808605,0,0,0,1,1,0,-0.240870444,3.450738682,-100,-4282.570177,1123.300094,1144.193264,-20.89317052,8052.66,8052.66,3841.592496,4016.497137,4,12,-8,0,11.87413797,96.54044998,89.51560363,16.78206056,42.48220197,-83.21793944,0,-4.253989524,-4.347122484,-4.340105569
10/5/2019,BTCUSD,8156.67,8200,8020.2,8147.63,3809.86,30873507.65,-3076.570209,-13929.68,0.102236015,378009.7424,-2.780294849,-191.0176954,992.524059,339.5374282,8445.105986,7771.299014,8108.2025,0,0,8098.155833,8426.750833,7769.560833,0,0,8216.39,7859.79,0,0,-5.323233163,-4.831145644,-0.492087519,8097.767932,8103.091166,0,0,0,1,1,0,-0.190194876,4.414165705,19.9546439,-4295.712677,1126.747316,1139.831777,-13.08446116,8052.66,8052.66,3841.592496,4016.497137,4,12,-8,48.29211135,26.04045928,94.79647644,89.22997231,66.35665323,53.35503427,-33.64334677,0,3.662184359,3.596719889,-0.836863878
10/4/2019,BTCUSD,8240.41,8241.35,8002.21,8156.67,7620.06,62078561.3,3813.978805,-6309.62,0.148093985,-44561.688,-1.993582908,147.9787448,992.524059,332.3661833,8412.86591,7822.92609,8117.896,0,0,8105.206667,8415.910667,7794.502667,0,0,8216.39,7859.79,0,0,-1.744904611,-3.913058711,2.1681541,8113.771414,8115.516318,0,0,0,1,1,0,-0.136811806,5.335014425,26.48200313,-4305.406177,1129.28988,1137.723398,-8.433517593,8052.66,8052.66,3841.592496,4016.497137,4,12,-8,49.18144293,44.0524345,93.68734959,88.26180574,67.91360959,50.35077446,-32.08639041,0,0.11095251,0.110891003,-0.72683989
10/3/2019,BTCUSD,8381.72,8419.95,8059.22,8240.41,7550.73,62037926.73,2258.037465,1241.11,0.120342315,347077.9186,-0.469258666,85.97379845,1002.713752,334.3921702,8420.471431,7856.158569,8138.315,0,0,8127.648889,8446.690556,7808.607222,0,0,8240.41,7859.79,0,0,4.019725965,-1.76283301,5.782558975,8144.551253,8140.531527,0,0,0,1,1,0,-0.085837169,6.317010112,98.68038558,-4325.825177,1134.645698,1137.210448,-2.564750015,8091.15,8091.15,3841.592496,4016.497137,24,12,12,57.07280321,55.04345017,92.91268685,86.13371053,72.69768856,68.98931713,-27.30231144,-25.02783333,1.026644452,1.021410252,0.292342501
10/2/2019,BTCUSD,8321.52,8391,8168.85,8381.72,7006.37,57883644.17,6455.545213,8247.48,0.241453533,-138110.9345,-0.177873093,197.6673161,1019.908707,326.3748724,8489.628446,7856.545839,8173.087143,0,0,8154.25,8459.45,7849.05,0,0,8381.72,7859.79,0,0,14.04898246,2.238715664,11.81026679,8197.474629,8183.425646,0,0,0,1,1,0,-0.032124412,7.247882424,113.5182551,-4360.597319,1143.766284,1138.146996,5.619288335,8091.15,8091.15,3841.592496,4016.497137,28,12,16,67.03879401,62.02757229,92.34526819,86.45645312,94.18643552,78.26591123,-5.813564477,1.149571429,1.714841859,1.700304406,2.012197571
10/1/2019,BTCUSD,8304.96,8535,8200,8321.52,12133.1,101594010.6,3090.381239,-3885.62,0.133868887,371676.0307,0.192963439,33.00464129,1019.908707,326.9909529,8502.929696,7880.352804,8191.64125,0,0,8178.990417,8487.915417,7870.065417,0,0,8381.72,7859.79,0,0,17.68491738,5.950728402,11.73418898,8223.360986,8205.676068,0,0,0,1,1,0,0.006502569,8.221246486,108.1476509,-4379.151427,1148.632948,1139.45774,9.175208332,8148.675,8148.675,3841.592496,4016.497137,28,12,16,60.17200168,48.83030621,91.70452573,70.29390024,72.37041351,79.75151253,-27.62958649,51.113,-0.718229671,-0.720821358,1.2795157
9/30/2019,BTCUSD,8052.4,8393.23,7701,8304.96,14235.43,114990553.1,7274.3298,-18121.05,0.253984654,-554902.6456,-1.778587702,-115.4723297,1019.908707,353.0794563,8505.05627,7903.408175,8204.232222,0,0,8173.887407,8525.401852,7822.372963,0,0,8381.72,7859.79,0,0,19.11204851,8.99105864,10.12098987,8239.504175,8220.392127,0,0,0,1,1,0,0.032592645,9.413560703,-27.37174165,-4391.742399,1151.935507,1140.844159,11.09134866,8118,8118,3841.592496,4016.497137,28,12,16,58.27730824,39.28164783,91.13115892,71.96567167,72.41726619,79.65803841,-27.58273381,52.466,-0.199002105,-0.199200378,1.077967331
9/29/2019,BTCUSD,8217.47,8246.87,7902.96,8052.4,6911.51,55634607.52,9699.994837,-25032.56,0.220451424,1405234.301,-1.427266747,-238.5129563,988.8925262,356.5737808,8488.483976,7889.614024,8189.049,0,0,8163.239667,8513.993667,7812.485667,0,0,8381.72,7859.79,0,0,6.837158491,8.508459973,-1.671301482,8204.048007,8197.210848,0,0,0,1,1,0,0.035071818,10.53331398,-65.18608107,-4376.559177,1147.953012,1140.047333,7.905678951,8118,8118,3841.592496,4016.497137,28,12,16,37.49881104,35.90070227,89.96948644,72.87817457,42.13429257,62.30732409,-57.86570743,51.473,-3.04107425,-3.088274304,-1.995888705
